genre,description
 horror ," Ayesha and Uday Saxena are a happily married couple living in Mumbai. Uday, a mechanical engineer, works in a private company and they are living a picture perfect life with their four year old son Sunny. One day, while coming back from a party Ayesha rash drives and both of them end up in a major road accident in which another lady who was driving the other car dies, breathing her last breath on Ayeshas' car's windshield, an incident that plays on her mind and depresses her. When Uday's boss, offers him the job of taking over the functioning of their Jabalpur factory, he grabs the opportunity to give Ayesha a change of atmosphere. Soon Uday gets busy with his company work and Ayesha with rearranging their life. Ayesha starts to feel the presence of someone in the house, hears noises etc. that no one else can. Her fears and her experiences grow and she gets isolated, she starts behaving in a bizarre manner. Believers & non-believers both are shocked at the turn of events involving Ayesha. What is it that she's experiencing? Will they lose Ayesha to the horror surrounding her? Or will Ayesha emerge strong from it?"
 romance ," Thrown together on the case of the year, Darrel Monjoi and Adrianna Thorton have to put aside their deep dislike of each other and go up against one of the top legal minds in Philadelphia. Douglas Mitchell represents James Keraboa, a ruthless multi billionaire who'll do anything to keep whats his."
 romance ," A TV adaptation of a romantic novel from the bouquet series: a man and a woman fall in love after the woman (played by Noortje Herlaar) is used by her company to make sure a deal with another company will be closed, by seducing her counterpart (played by Jeroen Spitzenberger)."
 horror , On a cold December night Logan's babysitter tells him three tales of unspeakable horror. But the most terrifying tale of all is lurking right outside their door.
 horror ," Two interwoven horror stories taking place within a 24 hour period as both are investigated by a small town Sheriff of Tacouma County, NY. The first story involves the supernatural elements as college friends, Madison and Zahira walk home and Madison is mowed down by an SUV and then hacked to death by one of the passengers. Later that night, a grief stricken, Zahira gets an idea to play with a Ouija board in hopes of contacting her friend. Big mistake as Madison returns from the dead with revenge on her mind... The second story follows Asher, the new nanny who just arrived into town as she will soon learn of a pair of serial killing brothers whom are terrorizing all women in their path."
 horror ," A motorcycle gang kidnaps a young woman, Josie, from a diner and brutally kills her. Many years later, the girl's father finds a magic crystal that can bring the life back to dead objects. He uses it to re-animate his daughter. He lets her seduce any young man that comes to visit the small town and then kills them. Four young students, two boys and two girls spend a vacation near the town, Hellgate. They hear about the story and get involved."
 romance ," Arsala comes to her home, as she thinks her parents will keep her, but she sees both, Naeema and Atif marrying. On morning, Atif says Arsala that he hates her because she kicked off their love. Atif goes to office without meeting Arsala, to which Naeema acts harsh and warns Arsala to go from home. While Arsala, without any choice leaves the home and goes to work in (Rashida Tabbassum)'s home."
 horror ," A young man who has been beaten, abused, humiliated and laughed at all his life finds that he has an unusual empathy with snakes. He can talk to them and they understand him, and eventually he finds that he can get them to do his bidding. He decides to use his newfound friends to take his revenge on everyone who ever did him wrong."
 romance ," When a mother tells her son Luv, that he could get anything in life and all he had to do was wish hard for it, little did she know that her son would wish for plenty of girlfriends. Luv also had the notion that getting the first girl was difficult, but after that they would queue up for him. His hunch is right and after he befriends Anu, his life changes and with the new look Anu gives him, girls suddenly find him hot and besiege him. He takes the affection of Anu for granted and flirts with every girl that comes his way. Anu, heartbroken decides to leave him alone and go away. When his mother passes away and his grief-stricken father confides in him about how he had taken the love of his mother for granted all his life, Luv realises how he had taken the affection of Anu for granted. He leaves home to find Anu and set the wrong, right."
 horror ," 610 follows Connor, part of an MTF Special Maz Hatters unit responding to an infection stress call deep inside a Foundation quarantined zone in open air Russia. The mission goes horribly wrong, and you find yourself stuck inside an overrun underground facility, sprawling with infected. Your goal is to try and find a way out; choosing to side with The Foundation or your own morals, or continue to dig deeper, to find the dark secret hidden in the depths of the facility."
 horror ," LA detectives are on the hunt for a mysterious serial killer who kidnaps and kills his victims. Their hopes of catching the killer are slim, as the detectives can't find a single shred of evidence. They finally get a break on the case when one surviving victim escapes from the killer's deadly clutches. In this chilling thriller, watch events unfold as the killer exposes the dark secrets of his victims and why he kidnaps their souls."
 horror ," After losing his job, his girlfriend and his apartment all in the same day... 28 year-old, comic book fanboy William Grady was ready for a change. With a U-Haul truck full of his worldly possessions, William arrived at Sunshine Self Storage just in time to witness the manager, Renny, a big surly Russian, fire his only employee, T.J., a tough, no good thug. William seized the opportunity to change his luck and ended the day with not only a place to store his precious belongings, but with a new job as well. The job came with one caveat: NEVER go to the 6th floor Things started looking up for William, with a decent job, a place to stay, and a side gig selling abandoned junk online; but all that changed when he met super-hot Roller Derby Queen, Chloe and agreed to help her with the contents of her dead grandfather's storage unit. On route to the unit William and Chloe were taken hostage by T.J. and his gang who came back to retrieve their secret stash of marijuana. Upon discovering their valuable crop had been destroyed by a strange dark, viscous fluid, T.J. ordered everyone to find its source, which led them to a storage unit... on the 6th floor When they entered the dark, eerie, musty unit the last thing any of them expected was to awaken an seven hundred year old Vampire... But they did. What's worse? That Vampire is NOT ALONE. A fan boy, roller derby queen and a gang of thugs find themselves trapped in the labyrinthine hallways of a creepy self storage facility fighting for their lives when a recently awoken, ancient Vampire and his minions attempt to escape the building once the sun goes down."
 horror , Les Hackel (Marsters) is a guy down on his luck who wakes to find an explosive device has been implanted in his neck. He must carry out heinous crimes in order to stay alive while trying to identify the mastermind manipulating the now twisted and strange world around him.
 romance ," It's New Years Eve and two jilted strangers with no where to go make a pact to make the most of the last hour of the year and not let love and lust get in the way, but as the minutes ebb away to midnight they form an unlikely bond that threatens to break their pact."
 horror ," All is quite, all is calm, on Christmas Eve on the street of a sleepy little village, when a mysterious Santa arrives to hand out strange presents. But as a family disappear with ominous notes left about Krampus, little do people know things are about to turn into the darkest Christmas they have ever known, as a series of terrifying events are about to change the festive season forever."
 horror ," (Thai with English subtitles) Another bloody fun entry in the Rahtree franchise, one of Thailand's most popular horror series. This time, the local police are alerted to the whereabouts of a notorious gangster but everybody is leery about entering this particular apartment as it's haunted by several ghosts, including Buppha Rahtree and a savage, knife-wielding mini-Buppha!"
 romance ," The Fashion Editress tells a story about a group of young people who have deep love for fashion and make arduous efforts to pursue their dreams. The main themes of this light comedy are youth, fashion and encouragement. The experiences of the protagonist, Cheng Xin, are identified with many people who work and struggle in Beijing. It admonishes people that dream is not a luxury and insisting in one's original dream and struggling for it deserve respect. This inspiriting comedy brings people warmth and strength and indicates right directions for the youth. Moreover, the work and life experiences of characters show Beijing as an international metropolis. The drama is also a real portrayal of current situation of fashion and media fields in Mainland China. It expresses its revolt against chasing after fashion blindly and delivers a positive view of life, which gives play to teaching through entertainment. All in all, this drama, which is filled with the fighting spirit of the youth in metropolis, is a motivational drama of fashion."
 romance ," Joseph is in love with Laura. Laura is in love with Bruce. Bruce is in love with Alex. Alex is in love with Joseph. While a mysterious germ in the water supply threatens the population of Winnipeg, Canada, four love-struck individuals struggle with a greater illness - the randomness and intensity of their own desire. A love triangle with four people."
 romance ," Saaya is the story of Sudha and Kamya. Sudha is quiet, fragile & incredibly shy with a simplicity and beauty that takes one's breath away and on the other hand, Kamiya bursts with a vibrant zest for life, full of fun, pranks & an exuberance that borders on waywardness. Awkward circumstances bring the two together in an inseparable bond of friendship. They are always there for each other, supporting each other through rough times. And yet through all this, there is an undercurrent of jealousy and one-upmanship. The story moves on where circumstances begin to tear the two close friends apart - bit by bit. Life almost seems to be playing a cruel game with the two friends as slowly fate and chance conspire to make them the worst of enemies. One will eventually be destroyed. Which one will it be? Will they come back together or will they remain enemies forever?"
 romance ," Jamal Hawkins is a handsome bachelor who will soon be a very wealthy man. As the primary heir to the Let It Roll toilet paper corporation, Jamal is set to inherit his grandfather's empire. Jamal's world comes crashing down when he discovers that his grandfather has placed a stipulation on his inheritance. The bachelor must find a wife before his grandfather passes away within the next 90 days. As a man who doesn't believe in marriage, Jamal is lost on what to do. In an effort to help, Jamal's best friend, Danny, devises a plan to fool the Jamal's family and find a suitable wife as soon as possible, with the aid of his new secretary, Rachel."
 romance ," Many older people associate most beautiful memories of one of their favorite holiday destinations: the sea. But with progressive dementia these impressions fade more and more. This film is designed specifically for people with dementia. Thus, it is now possible to experience the beauty of the coast and sea, in the TV and to remember old times. The film follows a pair at a eventful day at the seaside: in the morning in the port, with a trip to a picturesque mill, while sunbathing in a beach chair, while walking through wide dunes to the lighthouse, with a classic tea time and the ride on horseback on beach to the atmospheric sunset at sea. Without dialogue and without close-ups of faces, the film offers enough space for personal memories. With emphasizes peaceful imagery and high color contrasts, accompanied by harmonious soothing music and the sounds of nature, is an experience of a special kind of the film."
 romance ," A love story based on two families, a Sikh family and a Muslim family. Ravi who is an engineering graduate and is keen to settle abroad. An agent get him a visa charging a huge amount. On the day of his departure the agent conceals drugs in his baggage without his knowledge and is arrested by the customs on his arrival and is sentenced to jail. A young Pakistani girl who is a lawyer is appointed by the local association to fight his case and acquits the case in Ravi's favour. She helps Ravi to find an illegal job and asks him to stay with her till he finds a place to live. They slowly and gradually fall in like be and want to get married but not without their parents permission. They both proceed to their respective countries for permission from their parents but to their surprise none of them agree and bring in the film issue of the partition (1947) how they were treated. How they get married and how they convince their parents forms the climax of the film"
 horror ," Dr. Warren Chapin is a pathologist who regularly conducts autopsies on executed prisoners at the State prison. He has a theory that fear is the result of a creature that inhabits all of us. His theory is that the creature is suppressed by our ability to scream when fear strikes us. He gets a chance to test his theories when he meets Ollie and Martha Higgins, who own and operate a second-run movie theater. Martha is deaf and mute and if she is unable to scream, extreme fear should make the creature, which Chapin has called the Tingler, come to life and grow. Using LSD to induce nightmares, he begins his experiment. After much hard work, a pathologist discovers and captures a creature that lives in every vertebrate and grows when fear grips its host. ""Scream for your lives!"" The coroner and scientist Dr. Warren Chapin is researching the shivering effect of fear with his assistant David Morris. Dr. Warren is introduced to Ollie Higgins, the relative of a criminal sentenced to the electric chair, while making the autopsy of the corpse, and he makes a comment about the tingler-effect to him. Ollie asks for a lift to Dr. Warner, and introduces his deaf-mute wife Martha Higgins, who manages a theater of their own. Dr. Warner returns home, where he lives with his unfaithful and evil wife Isabel Stevens Chapin and her sweet sister Lucy Stevens. Dr. Warner, upset with the situation with his wife, threatens and uses her as a subject of his experiment. When Martha dies of fear, Dr. Warner makes her autopsy and finds a creature that lives inside every human being, feeds with fear and is controlled by the scream. Once Martha was not able to scream, the tingler was not rendered harmless and became enormous. When the living being escapes, Dr. Warner and Ollie chase it in a crowded movie theater."
 horror ," On the island of Mortavia in 1480, Father Guru is the schizophrenic chaplain of a Central European prison whom murders anyone he thinks threatens him including his mistress, a vampire, a hunchback and others. Carl is the jailer whom robs graves for the mad priest and saves one women prisoner, Najia, whom is condemned to death for infanticide."
 horror ," An American family (father, mother and daughter) are on holiday. During their visit, they notice that something strange is happening around them: some people seem like crazies, they attack their own kind, and devour them like wild beasts. It looks like a game of zombies, but this is the reality, a new reality where reign fear and death . The family manages to escape in panic, from now the only way to stay alive is to defend themself in any way, by any means."
 romance ," A simple low budget piece about the relationship between a young musician (making a living as a garbage collector) and the traumatized girl he finds 'on a trash heap.' Shot digitally, the film elaborates the atmosphere of their burgeoning emotional bond but focuses above all on creating an intimately authentic portrayal of the protagonists. The music of 'Ivan Král' (qv) adds an important texture to the movie."
 horror ," Growing up in the back woods of the Appalachian Mountains, the Clementine sisters live under the strict rule of their mentally deranged, Bible bound mother, who has deemed it time for her daughters to fulfill their holy obligation to procreate. Because of their geographical isolation, suitable candidates are scarce, therefore the sisters set forth to hunt, stalk, and capture the missing element they need for the completion of their holy quest - men! It's now up to a group of wives and girlfriends to rescue their partners from cruel and unusual servitude."
 romance ," Aboard a cruise ship sailing to the Bahamas, Kevin, 17, decides to watch the ship's departure from the large observatory. While looking at the Manhattan skyline, a man in his early 40's wearing a leather jacket and a Mohawk catches Kevin's attention. The man is filming the buildings passing by and his friend is talking to him, so neither notices the somewhat shy Kevin enamored by the cute guy. After a seemingly long dinner with his brother, his mom, and his step-dad, Kevin is finally free to wander on his own. He initially pretends to go with a group of teenagers, but is determined to find the guy. The image of his Mohawk and leather jacket makes Kevin shiver with anticipation and he's willing to search the whole ship to find him. After many hours, when he's almost ready to give up, Kevin spots the man and without hesitation walks up to him. The guy looks at him and smiles, but the music is so loud it is challenging to talk. Regardless, Kevin wants to meet this man, but the only conversation starter he can think of is to ask if his septum piercing hurt when he had it done. The man smiles and laughs while shaking his head no. Kevin sits down next to the guy to listen to the live band playing 80's rock 'n' roll songs. The man can see that Kevin is flirting, even though neither one is talking. After an agonizing moment, Kevin again tries to start a conversation by saying that he eventually would like to have the same piercing. The man smiles and asks if Kevin is even legal. When Kevin confidently explains that most states allow sex after 16, the man laughs and whispers his name in Kevin's ear. ""I'm André."""
 romance ," Desirée, a modern librarian with urban friends and interests is visiting her late husband's grave when she meets Benny, a simple farmer. After his mother's death Benny lives alone on the run-down farm, desperately seeking a woman to take care of him. In spite of their differences the two have the dream of finding that special someone in common, and fall passionately in love. Benny wants Desirée to move in with him and start a family as soon as possible. But being a farmer's wife is not something she is very enthusiastic about. Just presenting Benny as her boyfriend proves to be an embarrassing experience. And when she gets a tempting job offer in Stockholm she has to consider her priorities carefully."
 horror ," In an ancient castle, a mad scientist is trying to revive his dead daughter by an operation, but there are certain body parts he needs that he can't get. His problem is solved when a group of drunken party-goers stumble into his castle."
 romance ," While Berlin-based businessman Paul Graf is in Hong Kong, his nosy busybody mother Maria, who was only to mind his apartment, opens his mail, finds a letter notifying he's to become father and without consulting him travels to see the expectant mother, Nina, at her home, uncle Harald Brandl's farm and stork home. Maria falls in love with Harald but also finds the key to the Graf family's past, fled from Hungary during the Soviet-crushed rebellion. Paul arrives and finds Nina impossible to deal with, yet wants a bond with his unborn son."
 horror ," Twice before, actors were killed while rehearsing the doomed play, ""The Battle of Taft."" The actors at the Cobbleville Playhouse in New York figure this show would give them tremendous publicity. What they don't realize is that the main character, British spy Ethan Carver wants to tell his own story. One by one, the actors fall prey to the vicious Ethan's deadly wrath until the last survivors are forced to face him. Can anyone stop this maniac before it's too late?"
 romance ," Anisa and her family move from lower middle-class in Lucknow to glamorous Mumbai. Anisa has opportunities with the glitzy Singhania family, publishers of the magazine Desi Girls, and she struggles to make a place for herself in this new glamorous world."
 horror ," ""Beneath The Flesh"" is a collection of nightmares that will crawl under your skin and burrow it's way into your mind. In Id, a man is tormented by love and a twisted creature in his apartment. In The Basement, two men confront each other in a damp, filthy basement. In The Child, a withered man nurtures a growing creature. In The Insides, a man believes something is growing inside him. Finally, in Boxhead, an old man is visited by a childhood friend that could be his darkest nightmare. The victim in each story is forced to confront a fear that is eating them from the inside out. Their choice? Deal with the fear or die with it."
 horror ," Chris Flynn is driving his car for a job interview in another city. However, an accident with a trunk transporting chemical products blocks the highway and Chris looks for an alternative route through the mountains of West Virginia to accomplish his schedule. Due to a lack of attention, he crashes another car parked in the middle of the road with flat tires. Chris meets a group of five friends, who intended to camp in the forest, and they decide to leave the couple Francine and Evan on the place, while Chris, Jessie, Carly and her fiancé Scott tries to find some help. They find a weird cabin in the middle of nowhere, where three violent cannibalistic mountain men with the appearance of monsters live. The two couples try to escape from the mountain men while chased by them. Chris Flynn is driving through the backwoods of West Virginia on the way to an interview when he has an accident with a group of five friends, writing off his car. Their car is also damaged, so four of them set off to find help, leaving two behind to watch the cars. One by one they get picked off by a bunch of mutated inbred hillbillies. In a throwback to 1970's horror films such as ""The Texas Chainsaw Massacre"" and ""The Hills Have Eyes"", ""Wrong Turn"" is an independently-made horror film about a group of five youths on a hiking trip in the Appalachains of West Virginia who become prey to a family of cannibalistic mountain men who have become horribly disfigured through generations of in-breeding. Chris Finn (Desmond Harrington) is on his way to a job interview and is driving through the mountains of West Virginia. There is then a chemical spill on the road, so being short on time, he decides to take a different route, an abandoned dirt road in the middle of nowhere. He then by accident crashes into a car sitting in the middle of the road. He then meets a group of friends on a hiking trip who include Jessie (Eliza Dushku) whom where stranded on the road. Two people stay at the car, and another group goes for help, only to find a sinister cabin nesteled in the West Virgina woods, that is home to a trio of cannibalistic mountain men horribly disfigured from years of in-breeding. They then make a mad dash for their lives through out the woods, only hoping to make it out alive."
 horror ," The original show was called ""The Late Show"" which was aired from 10 October 1964. From 17 July 1965 the show was re-titled ""The Late, Late Show"". From 8 March 1969 it was again re-titled to Nightmare Theatre"". It was hosted by Jack DuBlon as ""Dr. Cadavarino"". There followed a one-off special ""Farewell Nightmare Theatre"" on 29 October 1977 and a further special ""Dr. Cadaverino's Halloween Special"" on 31 October 1980."
 romance ," Roja Kootam movie is all about Ilango (Srikanth) and Sriram (Ajay) who are best friends. Ilango is the only son of Radhika and Raghuvaran who is interested in anything but his academics. He falls in love with Mano who also eventually happens to reside opposite their house with her loud-mouthed sub-inspector Mom, Rekha. With the responsibilities of a brother to get his sisters married Sriram leaves for Libya on a job received through Srikanth's parents. Before he leaves, he tells Ilango that Mano and himself are in love and asks Ilango to look after his lover until he is back. Ilango swallows his love secret for the sake of friendship. Meanwhile Rekha arranges for Bhoomika to get married to Vijay Adhiraj for his wealth. At this juncture Mano and Ilango lie that they are already married. They both leave their parents and Ilangostarts earning to support Mano. Finishing his job assignment Sriram returns only to give yet another family responsibility as an excuse. He apologizes for not being able to marry Mano as he is a tight corner to marry somebody else for the sake of his sister's marriage."
 horror ," The wake is a slick fan film from Red Zodiac films. Starring Tyler Coombes, Rami Hilmi and Alina-Jane Lovell. ''Stephen Strode is one of the last remaining members of the Myers Bloodline, and he knows this. He also knows that Michael Myers is returning to Haddonfield this Hallows' Eve. In a deadly game of cat and mouse he must protect his sister and put the evil of Michael Myers to rest for good. Is Michael really unstoppable? is he really ruled by the curse of thorn? or is he just plain Evil, This October 31st, all the rules are broken and Halloween will never be the same' Cast: Tyler Coombes as Stephen Strode Alina-Jane Lovell as Mary Strode Rami Hilmi as Sheriff Blake Dr Chud as Ricky Simms R. Diapper as The Shape Dave Francis as Radio DJ Written, Edited and Directed by Russ Diapper Music by The Pumpkin Philharmonic Makeup Effects by Nightmares Inc Ltd Cinematography by Simon Quinlan and Russ Diapper Masks by Silver Shampain Novelties"
 romance ," Alena seems to be a successful woman: she's bright, attractive, being on a good job position in a financial company, living in the apartment in the center with a reliable, non-drinking boyfriend Oleg. She's almost happy, but there's a big problem: her boyfriend Oleg doesn't want children at all. At one of the corporate parties, Alena got acquainted with a pop star Vadim, a forty-year old singer, who was entertaining the audience with popular songs that evening. They spent a fantastic passionate night together, that's how their love affair started... Alena is head over heels in love with her lover, she hasn't ever had such a relation. Before that she'd been living with her calm, prudent Oleg and never cheated on him, but now everything 's been changed... Vadim is ready to divorce his ""no-more-loved-a-long-time-ago' wife, to have children with Alena and make the world get down in its knees for her. Now Alena has to make her choice: a calm life with Oleg, but without children, or a ""star life"" with Vadim with all its pros and cons. Once Vadim invited Alena to celebrate his birthday to his parents' house in the seaside town. Back home, Alena is shocked to know that thanks to paparazzi, all the city is aware of their love affair. She had to break up with Oleg, came to Vadim who, as it turned out to be an alcoholic. What will Alena do? Will Oleg forgive her cheating on him? Does Vadim really love her?"
 romance ," Mann Kapoor lives a middle-class lifestyle in India. He wants to be a singer but is unable to secure any firm to back him up. He would like to be represented by Umesh Jumani, the Managing Director of a recording company, and in order to do this he successfully woos his attractive daughter, Radha, gets her to fall in love with him, and in this way secures a contract to make an album with her dad's company. His friends arrange for a bachelor party in scenic Goa, and while partying he meets with and falls head over heels in love with Roma Fernandes, also an upcoming singer and dancer. Roma also falls in love with him, but is heart-broken when she finds out that he is to wed Radha. Torn between his love for Roma and the commitment he made with Radha, a lovelorn Mann returns home - not knowing that fate will disrupt his life when Radha and Umesh eventually find out that he has been two-timing Radha, and a confrontation with an underworld don, Chappu Bhai, who wants to ensure that Mann keeps his promise to Roma and weds her at any and all costs."
 horror ," After his wife Lucy walks out on him, Alexander tries to seek solace in alcohol and drugs, but the pain just won't go away. He is given the address of a mysterious man who claims to have the answer; a strange, powerful narcotic that will take away his anguish. Alexander can't take any more so he visits the dealer and is given the drug. For a while he feels fine, life is good again, until he realizes that shadowy figures are pursuing him. He tries to escape but there is no hiding from the Ingression."
 romance ," When Fleur arrives on her brother Hugo's doorstep in Melbourne only to find that he has run away to their hometown of Byron Bay, Hugo's flatmate Jude is expected to look after her. But Fleur soon finds out from Jude's ex-girlfriend Madison that he is the one who needs looking after. Fleur's need for sexual attention and Jude's need to be adored draws them both together, then pulls them apart, putting love to the test in this contemporary Australian romantic comedy with a bitter-sweet heart."
 horror ," Valerie Vestron, is looking for a vacation from her life. Her friends have a plan to get her out of the house and get her to a secluded cabin. They plan to throwback some beer, and unwind, for the weekend, but they get more than they bargained for."
 horror ," A man, Chonin Mitake, dies crazy after long agony, and his dead body is cremated. His widow Yoshi, investigating on the past of her husband, goes to the mansion where he had lived, a building Leftly nicknamed ""Satan's Pit"" (a suggestive statue of Satan is situated in the atrium of the mansion) managed by a hunchbacked caretaker. Soon some visitors reach the house. the hunchbacked keeper warns..."
 horror , Lee Hanlon (Sebastian Gacki) is an overachieving student at an elite military school called the Complex. He is intrigued by the academy's secret society called the Black Skulls Brotherhood. When he is tapped to become a new member he slowly discovers their secret agenda as well as their devilish origins.
 romance ," Today in Detroit (USA), an American woman trying to understand her recurring dreams and searching for explanations, she finds out that she lived another life in the early 30ies during ""Fordlandia's construction saga by Henry Ford "". Our character is now a Brazilian woman, who experienced an intense and forbidden love with an American project manager of Fordlandia. Even, finishing his failed wedding, this love will awaken a disproportionate anger on his ex-wife that will (along with her lover) go extreme to separate them.On this journey to the past, she found out that her romance was brutally interrupted by the sudden murder of her beloved. Back in the present time, she discovers that her great love of the past is also here and right next to her. They are reunited to finally live this love that crossed time and will remain in their hearts for eternity."
 horror ," Serbia - Krusevac - 1944. Investigated by high SS officer girl possessed by the fallen angel. Serbian - Krusevac Theatre - 2013. A group of young artists remains locked in the building all night. Without the audience and the actors, the stage is dark, cold, eerie ... There, in the dark, they will be searched for, but they are long lost, they will scream, and their voices will be lost in the silence. With the last flash from their eyes, with the last cry from the soul, they will see a fallen angel. He is the one who invented the game, dictated the rules and determined the one who will survive."
 romance ," Karthik (NTR Jr) is a well-qualified (MBA, no less) goes for an interview with Bhanumathi Industries. But the eponymous owner (Ramya Krishnan) slights him. So what does he do? He vows revenge and that he will marry one of her two daughters (Shriya and Genelia). But what does she do? She hires Saravanan (NTR Jr again) as her security. Little does she realize that Karthik and Saravanan are the same individuals. The two daughters are also after him thinking that they are separate entities. Bhanumathi also has a brother and his son in her household (Charan Raj and Rajiv Kanakala). No prizes for guessing that they are scheming types and are after her wealth only. Again no prizes for guessing, that Karthik is actually the son of Bhanumathi's long deceased brother. In the end, the MIL is tamed, both the daughters are won, the hero is happy at having fulfilled his vow."
 horror ," In 1920 the last of a band of traveling gypsies are killed to make way for the development of St. George Island. Now after 96 years, life is breathed back into an ancient terror. With only vengeance in mind, all trespassers on St. George Island are murdered in gruesome fashion ."
 romance ," Surya (Ajith) is abandoned by his mother and handed over by her to a Brigadier in the army for reasons the audience is not aware. The Brigadier raises him to be a model patriotic recruit in the army. When Indu (Simran)arrives with her father, a high ranking army officer, and mother, Surya is assigned to show them around town. Surya and Indu fall in love and her parents agree to the marriage. However Indu's father dies in a terrorist attack and her mother dies of the shock. Indu now wants Surya to leave the army and he must make a choice."
 horror ," Sometimes life is not over even in death. Being picked on in school and throughout life because of being handicapped, Johnny Kershaw finally gets the revenge he always wanted. Kershaw mysteriously gets lured into the void by lost souls who want use him to bring more living souls for them to be able to seek revenge. No one suspects that the school elevator is the passage way to the Void. Security last reveals Johnny Kershaw entering the elevator but never walking out. It is up to the spirit healers and good doers to find their friends and rescue Johnny Kershaw from the spell the voided souls have him under."
 horror ," Kenny Kwan stars as a music composer whose career is on the rocks and retreats to a deserted town looking for inspiration to write his next hit song. After checking into a local inn, he begins to experience nightmares that push him to the brink of insanity until he unveils the dark secret of the innkeeper."
 horror ," ""ChromeSkull"" is the sequel to the 2009 horror hit ""Laid to Rest."" It brings back ChromeSkull, who barely escaped death in the first movie and is hell-bent on continuing where he left off... and forging a new path of terror and destruction."
 horror ," Randy is an awkward groundskeeper who is obsessed with professional wrestling. Longing for a sense of belonging with grandiose dreams of becoming a wrestling superstar, Randy is only met with abject humiliation and alienation. A brutal shaming at a local wrestling school coupled with a bizarre encounter with a demonic stranger pushes Randy over the edge and lights the spark for his blood lust. Donned in wrestling gear and armed with homicidal rage, Randy sets out on a blood soaked rampage to punish those who wronged him. With each ghastly kill, Randy takes a trophy from his tormentors to add to a wrestling title belt crafted from human flesh. The only hope of putting an end to his reign of carnage lies with Becky, an understanding client who is one of the only few to ever show him kindness."
 romance ," Huff! Its Too Much features Marathi actor Pushkar Jog and it also marks Indo-Brit actress Armeena Rana Khan's acting debut. The film is a romantic-comedy and it revolves around a creative director, his quirky best friend and a woman that he is confused about. The film is an out and out youth centric romantic-comedy set in London dealing with the tryst and tribulation of young 'Desis' staying abroad. It is not just a funny take on their life and interaction, but also an out and out family film with outstanding music. Watch the full movie Huff! It's too Much online, only on Eros Now."
 romance ," The movie begins with Sumathi (Vandana) and Subramaniam (Arun Vijay), strangers to one another, meet at a suicide point in Chennai. They realise that their goal is the same, that is Suicide! Both had choose to end their lives and duly writes suicide notes. Sumathy's reason for taking the extreme step is her nagging relatives, who are also her guardians. They are after her ancestral money. Subramaniam is cheated by a friend who promises a job for him in Dubai after taking Rs five lakh from him. Both consumes sleeping pills in a bid to end their lives in Subramaniam's room. However, they are rescued by the house-owner Mani (Janakaraj). Life takes a turn and Subramaniam lands a good job while Sumathy's relatives take her home. Subramaniam marriage is settled with a girl of his mother's choice and Sumathy's marriage is fixed with her maternal uncle. Both flee the respective marriage halls independently. How they reunite forms the crux."
 horror ," From within the woods, a blood splattered young man, named John Prescott (Chris Moore), is found on the side of the road... terrified and muttering gibberish. Enter Dr. Pamela Alley (Becca McIntyre), an esteemed psychologist, and Morris West (J.K. Michaels), a detective from the local police force, who have just been assigned the boy's case. As the teen begins telling his diabolical tale of a local weekend vacation gone horribly wrong, it becomes clear that nothing is ever what it seems when a very troubled substitute teacher (Lynn Lowry), with a webbed past of nightmares, emerges as the center of the proceedings. What keys does she hold to the nearly phantasmic events surrounding the area for the last several years? The more they attempt to uncover the truth, the more they put themselves into grave danger. Perhaps some secrets are better left in...the House of Covered Mirrors. Featuring legendary indie scream queens, Lynn Lowry and Debbie Rochon, The House of Covered Mirrors guarantees you an authentic visceral yet surreal experience straight from the era where grindhouse slashers & Drive-in Horror relentlessly ruled the cinemas!"
 romance ," Elaine Rose Chalmers has the perfect organized life. The host of her own Austin, Texas radio program, the self-proclaimed ""Queen of Planning"" spends her days advising callers on how charts, lists, and graphs can insure a peaceful, successful life and what results they can expect. But, what she doesn't expect is the result of one very disorganized evening back home in the little town of McIntosh, Florida. It seems that one recent ""very hard to remember evening"" with Billy Joe Crawley, her high school sweetheart, has changed a few things on Elaine's list. And now... she's unexpectedly expecting! A baby hadn't made her 2-year plan; she'd barely penciled it in at the bottom of the 5-yr goal sheet. And a one-night stand with a childhood friend hadn't exactly been on her to-do list, either! Join Elaine, Billy Joe and a host of city people and bunch of good olé southern folk as we watch how they deal with the one thing we all know is guaranteed in this life - change! Now it seems that for Elaine Rose Chalmers, host of Austin's #1 radio show ""Charmed with Chalmers"", an unexpected pregnancy forces her to learn that sometimes the best plan is not having a plan at all."
 horror , The demonic force lurking in Amityville for over 300 years escapes to a remote California mansion. It encounters a struggling family living together by uncertain means. The beast manipulates a little girl by manifesting itself in the form of her dead father. Soon it will be able to possess her completely... is it too late for a young priest to defeat the demon and end the curse?
 horror ," For many years, people believed in the legend of the little Sandman, a small man who gave children wonderful dreams through his sand. But in fact, the Sandman is a 3000-year-old demon, lord of the dream world who sneaks into people's dreams to steal their souls. In 1047, a monk gave his life to capture the Sandman within his eternal dreams. The Sandman, caught since that day in a dead man's dreams, had been forgotten and turned into a mythical figure during the Middle Ages. The blood-red Sandman escaped the eternal dream nearly 1000 years later. Not much longer and he began leaving a trail of dead bodies. Only very few people know of the crimson Sandman and only one will stand in his way."
